age_group,gender,category,budget_band,price_band,buy_freq,buy_factor,channel_main,review_consider,eco_interest,eco_paymore,brand_preference,style_pref
25-34,m,jaket,300-600k,sedang,Beberapa bulan,Harga,Sosmed,Tak pernah,Tertarik,Tidak,merah,formal
25-34,m,jaket,300-600k,sedang,Beberapa bulan,Merek,Web brand,Selalu,Tertarik,Mungkin,kuning,sporty
25-34,m,jas,300-600k,sedang,Setiap minggu,Trend,Offline,Sering,Agak tertarik,Tidak,biru,minimalis
25-34,m,pakaian-wanita,300-600k,sedang,Setiap minggu,Harga,Marketplace,Tak pernah,Agak tertarik,Ya,vibrant,sporty
25-34,f,jaket,100-300k,murah,Setiap minggu,Harga,Sosmed,Selalu,Tidak tertarik,Tidak,coklat,kasual
25-34,m,pakaian-pria,100-300k,sedang,Jarang,Trend,Sosmed,Kadang,Tidak tertarik,Tidak,biru,sporty
25-34,m,jaket,300-600k,sedang,Setiap bulan,Harga,Web brand,Selalu,Agak tertarik,Ya,netral,vintage
25-34,m,kaos,300-600k,sedang,Jarang,Kualitas,Web brand,Sering,Tidak tertarik,Mungkin,vibrant,sporty
25-34,m,jas,100-300k,sedang,Beberapa bulan,Trend,Web brand,Tak pernah,Tidak tertarik,Mungkin,netral,vintage
25-34,m,pakaian-pria,300-600k,sedang,Beberapa bulan,Harga,Marketplace,Tak pernah,Tidak tertarik,Ya,netral,kasual
25-34,f,pakaian-pria,100-300k,murah,Setiap bulan,Harga,Sosmed,Tak pernah,Tidak tertarik,Ya,vibrant,kasual
25-34,f,jaket,100-300k,sedang,Beberapa bulan,Kualitas,Offline,Selalu,Tertarik,Tidak,hitam,kasual
25-34,f,celana,100-300k,sedang,Beberapa bulan,Kualitas,Marketplace,Tak pernah,Tertarik,Tidak,putih,formal
25-34,m,pakaian-pria,100-300k,murah,Setiap minggu,Harga,Marketplace,Kadang,Tidak tertarik,Ya,hitam,kasual
25-34,m,celana,100-300k,sedang,Jarang,Trend,Sosmed,Selalu,Tertarik,Ya,abu,minimalis
25-34,f,jas,100-300k,sedang,Setiap minggu,Merek,Sosmed,Kadang,Tidak tertarik,Ya,netral,minimalis
25-34,m,kemeja-casual,300-600k,sedang,Setiap minggu,Harga,Web brand,Kadang,Tidak tertarik,Ya,putih,kasual
25-34,f,pakaian-pria,300-600k,sedang,Beberapa bulan,Kualitas,Marketplace,Selalu,Agak tertarik,Tidak,biru,formal
25-34,m,jaket,300-600k,sedang,Beberapa bulan,Kualitas,Marketplace,Selalu,Tidak tertarik,Tidak,coklat,minimalis
25-34,f,pakaian-pria,300-600k,sedang,Jarang,Trend,Sosmed,Selalu,Agak tertarik,Ya,pink,kasual
25-34,f,kaos,300-600k,sedang,Jarang,Merek,Sosmed,Selalu,Tidak tertarik,Mungkin,coklat,kasual
25-34,m,celana,100-300k,sedang,Setiap bulan,Merek,Marketplace,Sering,Tertarik,Ya,coklat,kasual
25-34,f,celana,100-300k,sedang,Setiap minggu,Trend,Web brand,Tak pernah,Agak tertarik,Tidak,abu,kasual
25-34,m,kaos,<100k,murah,Setiap bulan,Merek,Offline,Selalu,Agak tertarik,Ya,hitam,vintage
25-34,f,sweater,300-600k,sedang,Beberapa bulan,Kualitas,Marketplace,Selalu,Tertarik,Ya,netral,sporty
25-34,m,kaos-kaki,300-600k,sedang,Beberapa bulan,Merek,Offline,Selalu,Tertarik,Mungkin,hijau,sporty
25-34,m,kaos,300-600k,sedang,Setiap bulan,Kualitas,Marketplace,Sering,Tidak tertarik,Tidak,merah,vintage
25-34,m,kaos-polo,300-600k,sedang,Beberapa bulan,Trend,Web brand,Tak pernah,Tertarik,Ya,putih,minimalis
25-34,f,kaos,300-600k,sedang,Jarang,Kualitas,Sosmed,Tak pernah,Tidak tertarik,Mungkin,putih,vintage
25-34,f,celana,100-300k,sedang,Setiap bulan,Harga,Marketplace,Tak pernah,Agak tertarik,Ya,netral,kasual
25-34,m,kaos,100-300k,murah,Setiap bulan,Trend,Marketplace,Selalu,Tidak tertarik,Mungkin,netral,minimalis
25-34,m,kaos,<100k,murah,Jarang,Trend,Offline,Selalu,Agak tertarik,Tidak,kuning,formal
25-34,m,pakaian-pria,100-300k,sedang,Setiap minggu,Trend,Sosmed,Sering,Tidak tertarik,Tidak,merah,vintage
25-34,m,jaket,100-300k,murah,Jarang,Trend,Sosmed,Kadang,Tidak tertarik,Tidak,vibrant,formal
25-34,m,kaos-polo,100-300k,sedang,Setiap minggu,Kualitas,Offline,Selalu,Agak tertarik,Mungkin,pink,vintage
25-34,f,kaos,300-600k,sedang,Jarang,Kualitas,Sosmed,Sering,Tidak tertarik,Mungkin,hitam,formal
25-34,m,jas,100-300k,sedang,Beberapa bulan,Merek,Marketplace,Tak pernah,Agak tertarik,Ya,vibrant,minimalis
25-34,m,celana,100-300k,sedang,Setiap minggu,Trend,Marketplace,Kadang,Agak tertarik,Mungkin,pastel,formal
25-34,m,jaket,100-300k,sedang,Setiap minggu,Merek,Sosmed,Selalu,Tidak tertarik,Tidak,pastel,minimalis
25-34,f,sweater,100-300k,murah,Setiap minggu,Harga,Marketplace,Sering,Agak tertarik,Ya,earth,vintage
25-34,m,jas,100-300k,sedang,Jarang,Kualitas,Marketplace,Tak pernah,Agak tertarik,Ya,netral,kasual
25-34,m,pakaian-pria,300-600k,sedang,Setiap minggu,Harga,Marketplace,Tak pernah,Agak tertarik,Ya,vibrant,sporty
25-34,m,jaket,300-600k,sedang,Setiap bulan,Harga,Offline,Sering,Tidak tertarik,Mungkin,pastel,minimalis
25-34,m,pakaian-pria,300-600k,sedang,Setiap bulan,Harga,Offline,Selalu,Agak tertarik,Tidak,hitam,vintage
25-34,m,kaos,<100k,murah,Setiap minggu,Harga,Sosmed,Sering,Tertarik,Ya,vibrant,vintage
25-34,f,jaket,300-600k,sedang,Beberapa bulan,Merek,Marketplace,Selalu,Tidak tertarik,Tidak,earth,formal
25-34,m,pakaian-pria,100-300k,murah,Setiap bulan,Merek,Sosmed,Tak pernah,Tertarik,Tidak,kuning,formal
25-34,m,sweater,100-300k,murah,Beberapa bulan,Trend,Offline,Kadang,Tidak tertarik,Ya,netral,minimalis
25-34,f,kaos,100-300k,murah,Setiap minggu,Harga,Marketplace,Kadang,Tidak tertarik,Mungkin,hijau,kasual
25-34,m,kaos-kaki,100-300k,sedang,Setiap minggu,Merek,Sosmed,Kadang,Tertarik,Ya,putih,formal
