age_group,gender,category,budget_band,price_band,buy_freq,buy_factor,channel_main,review_consider,eco_interest,eco_paymore,brand_preference,style_pref
25-34,f,kaos,300-600k,sedang,Jarang,Trend,Marketplace,Kadang,Tidak tertarik,Ya,merah,formal
25-34,m,kemeja-casual,300-600k,sedang,Setiap bulan,Trend,Offline,Selalu,Tertarik,Tidak,earth,formal
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Kualitas,Web brand,Kadang,Tertarik,Ya,putih,formal
25-34,m,kaos,<100k,murah,Setiap bulan,Merek,Offline,Selalu,Agak tertarik,Ya,hitam,klasik
25-34,f,jas,100-300k,sedang,Beberapa bulan,Harga,Sosmed,Sering,Tertarik,Mungkin,hitam,formal
25-34,f,jaket,100-300k,murah,Setiap minggu,Harga,Sosmed,Selalu,Tidak tertarik,Tidak,coklat,kasual
25-34,f,jas,100-300k,sedang,Jarang,Merek,Web brand,Sering,Tertarik,Ya,merah,formal
25-34,m,kaos,<100k,murah,Setiap bulan,Kualitas,Web brand,Kadang,Tertarik,Ya,merah,formal
25-34,f,pakaian-pria,300-600k,sedang,Setiap bulan,Kualitas,Sosmed,Tak pernah,Agak tertarik,Mungkin,abu,kasual
25-34,m,kaos,100-300k,murah,Setiap bulan,Kualitas,Marketplace,Selalu,Tertarik,Mungkin,pastel,klasik
25-34,m,pakaian-pria,300-600k,sedang,Setiap minggu,Kualitas,Offline,Tak pernah,Tidak tertarik,Mungkin,abu,klasik
25-34,f,jaket,300-600k,sedang,Jarang,Merek,Web brand,Kadang,Agak tertarik,Ya,kuning,kasual
25-34,m,sweater,<100k,murah,Setiap minggu,Merek,Marketplace,Tak pernah,Tidak tertarik,Mungkin,putih,formal
25-34,f,pakaian-pria,<100k,murah,Setiap bulan,Trend,Offline,Kadang,Tertarik,Tidak,pink,kasual
25-34,m,pakaian-pria,100-300k,murah,Setiap bulan,Trend,Offline,Selalu,Agak tertarik,Mungkin,netral,klasik
25-34,f,celana,100-300k,sedang,Jarang,Trend,Offline,Sering,Agak tertarik,Mungkin,pink,klasik
25-34,m,pakaian-pria,100-300k,murah,Setiap bulan,Merek,Sosmed,Sering,Tidak tertarik,Ya,coklat,klasik
25-34,m,kaos-polo,300-600k,sedang,Setiap minggu,Kualitas,Web brand,Kadang,Tertarik,Mungkin,putih,kasual
25-34,m,pakaian-pria,300-600k,sedang,Jarang,Merek,Marketplace,Tak pernah,Tidak tertarik,Mungkin,hitam,formal
25-34,m,pakaian-wanita,300-600k,sedang,Beberapa bulan,Trend,Web brand,Selalu,Agak tertarik,Mungkin,earth,formal
25-34,m,pakaian-pria,300-600k,sedang,Setiap minggu,Trend,Offline,Sering,Agak tertarik,Tidak,biru,formal
25-34,m,pakaian-pria,300-600k,sedang,Setiap bulan,Harga,Offline,Selalu,Agak tertarik,Tidak,hitam,klasik
25-34,m,jaket,100-300k,murah,Beberapa bulan,Kualitas,Offline,Kadang,Tertarik,Ya,coklat,kasual
25-34,f,kemeja-casual,300-600k,sedang,Setiap minggu,Harga,Marketplace,Sering,Tidak tertarik,Mungkin,pink,klasik
25-34,f,jaket,300-600k,sedang,Beberapa bulan,Trend,Marketplace,Sering,Tidak tertarik,Ya,vibrant,kasual
25-34,m,celana,100-300k,sedang,Setiap minggu,Trend,Marketplace,Kadang,Agak tertarik,Mungkin,pastel,formal
25-34,m,pakaian-pria,300-600k,sedang,Setiap minggu,Merek,Web brand,Kadang,Agak tertarik,Tidak,earth,formal
25-34,f,pakaian-pria,100-300k,murah,Jarang,Kualitas,Offline,Selalu,Tertarik,Ya,netral,kasual
25-34,f,pakaian-pria,100-300k,murah,Jarang,Merek,Web brand,Kadang,Agak tertarik,Ya,kuning,klasik
25-34,f,jas,100-300k,sedang,Beberapa bulan,Merek,Offline,Selalu,Tertarik,Tidak,vibrant,formal
25-34,f,pakaian-wanita,300-600k,sedang,Beberapa bulan,Merek,Offline,Selalu,Agak tertarik,Ya,vibrant,kasual
25-34,f,kaos,300-600k,sedang,Beberapa bulan,Kualitas,Web brand,Tak pernah,Agak tertarik,Mungkin,putih,klasik
25-34,m,jas,100-300k,sedang,Jarang,Kualitas,Sosmed,Tak pernah,Agak tertarik,Tidak,earth,formal
25-34,m,kaos,100-300k,murah,Setiap minggu,Kualitas,Sosmed,Kadang,Tidak tertarik,Tidak,pastel,formal
25-34,f,jas,100-300k,sedang,Setiap minggu,Trend,Marketplace,Selalu,Agak tertarik,Mungkin,hitam,kasual
25-34,f,kaos-polo,300-600k,sedang,Jarang,Trend,Sosmed,Sering,Tidak tertarik,Mungkin,hitam,klasik
25-34,m,jaket,300-600k,sedang,Setiap bulan,Kualitas,Offline,Tak pernah,Agak tertarik,Ya,coklat,klasik
25-34,m,kaos,<100k,murah,Setiap bulan,Harga,Marketplace,Selalu,Agak tertarik,Ya,coklat,formal
25-34,f,kaos,100-300k,murah,Jarang,Harga,Web brand,Selalu,Tertarik,Tidak,netral,klasik
25-34,m,jas,100-300k,sedang,Setiap bulan,Harga,Offline,Selalu,Agak tertarik,Ya,hijau,kasual
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Trend,Offline,Tak pernah,Tertarik,Mungkin,vibrant,formal
25-34,m,dress,300-600k,sedang,Setiap bulan,Trend,Marketplace,Tak pernah,Tertarik,Tidak,hitam,klasik
25-34,m,kaos,100-300k,murah,Setiap minggu,Merek,Offline,Sering,Agak tertarik,Mungkin,netral,formal
25-34,m,jas,100-300k,sedang,Setiap bulan,Harga,Offline,Kadang,Tertarik,Mungkin,biru,kasual
25-34,f,pakaian-pria,<100k,murah,Beberapa bulan,Harga,Web brand,Kadang,Tertarik,Ya,hijau,kasual
25-34,m,celana,100-300k,sedang,Setiap minggu,Merek,Offline,Kadang,Tertarik,Mungkin,coklat,klasik
25-34,f,pakaian-wanita,100-300k,murah,Setiap bulan,Harga,Web brand,Tak pernah,Tertarik,Tidak,biru,klasik
25-34,m,kemeja-casual,300-600k,sedang,Setiap minggu,Kualitas,Sosmed,Selalu,Agak tertarik,Mungkin,coklat,kasual
25-34,m,pakaian-wanita,300-600k,sedang,Beberapa bulan,Harga,Marketplace,Selalu,Tertarik,Tidak,putih,klasik
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Merek,Marketplace,Selalu,Agak tertarik,Tidak,pink,formal
