age_group,gender,category,budget_band,price_band,buy_freq,buy_factor,channel_main,review_consider,eco_interest,eco_paymore,brand_preference,style_pref
25-34,m,kaos,300-600k,sedang,Sering,Kualitas,Marketplace,Sering,Tidak Tertarik,Tidak,merah,formal
25-34,f,kaos,<300k,murah,Sering,Trend,Web brand,Tak pernah,Tertarik,Ya,hijau,kasual
25-34,f,sweater,<300k,murah,Jarang,Trend,Web brand,Kadang,Tidak Tertarik,Ya,earth,kasual
25-34,f,pakaian-wanita,<300k,murah,Jarang,Kualitas,Web brand,Kadang,Tertarik,Ya,netral,formal
25-34,f,jaket,300-600k,sedang,Jarang,Merek,Web brand,Selalu,Tertarik,Ya,putih,formal
25-34,m,jas,<300k,sedang,Jarang,Merek,Marketplace,Tak pernah,Tidak Tertarik,Ya,coklat,formal
25-34,m,kemeja-casual,300-600k,sedang,Sering,Trend,Web brand,Sering,Tertarik,Tidak,hitam,formal
25-34,m,pakaian-pria,<300k,murah,Sering,Harga,Marketplace,Kadang,Tertarik,Mungkin,putih,kasual
25-34,m,kaos-kaki,<300k,sedang,Jarang,Kualitas,Web brand,Tak pernah,Tertarik,Tidak,abu,formal
25-34,f,kaos,<300k,murah,Jarang,Kualitas,Web brand,Tak pernah,Tertarik,Tidak,kuning,kasual
25-34,m,kaos-kaki,<300k,sedang,Sering,Merek,Sosmed,Tak pernah,Tidak Tertarik,Ya,abu,formal
25-34,f,kaos,300-600k,sedang,Jarang,Trend,Marketplace,Tak pernah,Tertarik,Ya,earth,formal
25-34,m,kaos,<300k,murah,Jarang,Trend,Offline,Selalu,Tertarik,Tidak,kuning,formal
25-34,m,pakaian-wanita,300-600k,sedang,Sering,Kualitas,Offline,Tak pernah,Tertarik,Tidak,abu,kasual
25-34,f,sweater,300-600k,sedang,Sering,Harga,Sosmed,Kadang,Tertarik,Mungkin,putih,kasual
25-34,f,pakaian-pria,300-600k,sedang,Jarang,Harga,Web brand,Kadang,Tertarik,Ya,netral,formal
25-34,m,jaket,<300k,murah,Jarang,Trend,Sosmed,Kadang,Tidak Tertarik,Tidak,vibrant,formal
25-34,m,jaket,300-600k,sedang,Jarang,Merek,Marketplace,Kadang,Tidak Tertarik,Tidak,abu,formal
25-34,f,pakaian-wanita,300-600k,sedang,Jarang,Kualitas,Marketplace,Selalu,Tidak Tertarik,Ya,hitam,formal
25-34,f,pakaian-pria,300-600k,sedang,Jarang,Trend,Sosmed,Kadang,Tidak Tertarik,Ya,pastel,formal
25-34,f,kaos,<300k,murah,Sering,Harga,Marketplace,Selalu,Tertarik,Tidak,earth,formal
25-34,m,kaos,300-600k,sedang,Jarang,Merek,Sosmed,Sering,Tertarik,Mungkin,hitam,kasual
25-34,f,kaos,300-600k,sedang,Jarang,Harga,Sosmed,Sering,Tertarik,Mungkin,hitam,kasual
25-34,f,pakaian-pria,300-600k,sedang,Jarang,Trend,Sosmed,Selalu,Tertarik,Ya,pink,kasual
25-34,m,kaos,300-600k,sedang,Sering,Trend,Web brand,Tak pernah,Tertarik,Tidak,biru,kasual
25-34,f,jas,<300k,sedang,Sering,Merek,Sosmed,Kadang,Tertarik,Tidak,abu,kasual
25-34,m,kaos,<300k,murah,Sering,Merek,Offline,Tak pernah,Tertarik,Tidak,kuning,formal
25-34,f,jaket,<300k,murah,Jarang,Kualitas,Offline,Selalu,Tertarik,Tidak,hitam,formal
25-34,f,pakaian-pria,<300k,murah,Sering,Merek,Marketplace,Sering,Tidak Tertarik,Tidak,pink,kasual
25-34,f,jas,<300k,murah,Jarang,Kualitas,Marketplace,Selalu,Tertarik,Tidak,biru,kasual
25-34,m,jaket,<300k,murah,Jarang,Harga,Marketplace,Tak pernah,Tertarik,Ya,merah,kasual
25-34,f,kaos,<300k,murah,Sering,Harga,Offline,Kadang,Tertarik,Tidak,earth,formal
25-34,m,kaos-kaki,<300k,sedang,Sering,Merek,Sosmed,Kadang,Tertarik,Ya,putih,formal
25-34,f,kaos,<300k,sedang,Jarang,Harga,Sosmed,Selalu,Tidak Tertarik,Mungkin,pastel,formal
25-34,m,pakaian-pria,<300k,murah,Sering,Merek,Sosmed,Sering,Tidak Tertarik,Ya,coklat,formal
